pod_id,cluster_name,container_name,instance_id,startTime,endTime,doubleValue
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:46:00Z,20028.041
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:44:00Z,19908.14
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:42:00Z,19788.144
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:40:00Z,19668.04
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:38:00Z,19548.339
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:36:00Z,19428.241
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:34:00Z,19308.24
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:32:00Z,19188.14
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:30:00Z,19068.24
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:28:00Z,18948.144
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:26:00Z,18828.148
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:24:00Z,18708.24
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:22:00Z,18588.141
190b2fae-d2d1-11e9-a58a-42010a8000c0,load-test,,3962380509873542383,2019-09-09T07:12:17Z,2019-09-09T12:20:00Z,18468.147
